,,,k-NN (10),k-NN (15),k-NN (20),DT (10),DT (15),DT (20),NB (10),NB (15),NB (20),MLP (10),MLP (15),MLP (20)
1,PCA_075_HOG_256_32x32,10-fold CV,0.6948,0.7105,0.7093,0.6124,0.6314,0.6492,0.695,0.687,0.6866,0.4635,0.4798,0.4978
1,PCA_075_HOG_256_32x32,70/30,0.6871,0.6863,0.6819,0.6528,0.6666,0.6665,0.683,0.6748,0.6706,0.4442,0.4617,0.4855
2,PCA_075_HOG_128_16x16,10-fold CV,0.6845,0.679,0.6836,0.6342,0.6528,0.6636,0.6771,0.6782,0.6701,0.534,0.5839,0.5444
2,PCA_075_HOG_128_16x16,70/30,0.6833,0.6708,0.6831,0.6572,0.6792,0.6499,0.6554,0.652,0.6638,0.4997,0.5285,0.5213
3,PCA_090_HOG_256_32x32,10-fold CV,0.6822,0.6911,0.6961,0.5878,0.605,0.6055,0.6386,0.6388,0.6382,0.449,0.5089,0.5159
3,PCA_090_HOG_256_32x32,70/30,0.6771,0.6727,0.6855,0.5999,0.6416,0.6458,0.6541,0.6583,0.6541,0.4271,0.5125,0.5155
4,HOG_256_32x32,10-fold CV,0.6875,0.692,0.697,0.6628,0.6859,0.6738,0.7033,0.7145,0.7098,0.6963,0.7075,0.7047
4,HOG_256_32x32,70/30,0.6559,0.6767,0.6819,0.6997,0.6916,0.7,0.7374,0.7416,0.7375,0.6949,0.7107,0.7114
5,PCA_090_HOG_128_16x16,10-fold CV,0.6451,0.6446,0.6589,0.63,0.6259,0.6534,0.6396,0.638,0.637,0.5209,0.5406,0.5175
5,PCA_090_HOG_128_16x16,70/30,0.6458,0.637,0.6243,0.6249,0.6453,0.6414,0.62,0.6197,0.6229,0.5344,0.5208,0.4933
6,PCA_075_HOG_128_32x32,10-fold CV,0.67,0.6712,0.6648,0.618,0.6339,0.6533,0.6975,0.6875,0.69,0.501,0.4804,0.4913
6,PCA_075_HOG_128_32x32,70/30,0.6621,0.656,0.6598,0.6833,0.6949,0.6916,0.7375,0.725,0.7125,0.5679,0.5446,0.5521
7,PCA_090_HOG_128_32x32,10-fold CV,0.6482,0.6583,0.6621,0.6502,0.6312,0.6578,0.6802,0.6793,0.6755,0.4584,0.4929,0.4674
7,PCA_090_HOG_128_32x32,70/30,0.6305,0.6467,0.6419,0.6624,0.675,0.654,0.6911,0.7033,0.6992,0.5251,0.5119,0.4707
8,HOG_128_16x16,10-fold CV,0.644,0.6339,0.6396,0.6472,0.6884,0.6841,0.7322,0.74,0.7311,0.717,0.7176,0.7146
8,HOG_128_16x16,70/30,0.6374,0.6291,0.6331,0.6317,0.6458,0.629,0.7498,0.7369,0.7289,0.7234,0.7162,0.7162
9,HOG_128_32x32,10-fold CV,0.6327,0.6328,0.64,0.6386,0.6847,0.6744,0.7042,0.7054,0.7056,0.3579,0.3477,0.3782
9,HOG_128_32x32,70/30,0.6154,0.6533,0.6505,0.6286,0.6416,0.6542,0.7373,0.7456,0.7373,0.3239,0.3239,0.3239
10,LBP_256_6R,10-fold CV,0.5533,0.5588,0.5636,0.5249,0.5376,0.5499,0.594,0.5939,0.5915,0.3333,0.3333,0.3333
10,LBP_256_6R,70/30,0.6124,0.6448,0.6572,0.5745,0.6162,0.6077,0.6026,0.5815,0.599,0.3425,0.3425,0.3425
11,PCA_075_HOG_256_16x16,10-fold CV,0.6306,0.6499,0.6573,0.6538,0.6731,0.6917,0.6226,0.6244,0.6199,0.523,0.5017,0.525
11,PCA_075_HOG_256_16x16,70/30,0.623,0.623,0.6229,0.6166,0.6583,0.6625,0.6321,0.6281,0.6361,0.525,0.4536,0.4994
12,LBP_256_12R,10-fold CV,0.5398,0.5562,0.5463,0.5445,0.5671,0.559,0.5941,0.5916,0.5895,0.3333,0.3333,0.3333
12,LBP_256_12R,70/30,0.5833,0.5953,0.5957,0.5875,0.6207,0.5873,0.6005,0.6005,0.6011,0.3239,0.3239,0.3239
,Média =>,,0.64275,0.64875,0.6515166666666666,0.6259791666666666,0.645575,0.6460666666666667,0.6699666666666667,0.6685791666666666,0.6669916666666666,0.49248333333333333,0.49910000000000004,0.4991291666666666
,Desv. Pad. =>,,0.041050922777320926,0.038178994907853626,0.04015352782884026,0.04099414570257633,0.03893138054711582,0.03911423255550076,0.05011407566452908,0.05180736039000357,0.04799776187414925,0.12476458759936884,0.1257826420595396,0.12255117645885442
