,,,Gini (10),Gini (20),Gini (30),Gini (100),Entropy (10),Entropy (20),Entropy (30),Entropy (100)
1,PCA_075_HOG_256_32x32,10-fold CV,0.632,0.6472,0.6442,0.6934,0.6187,0.6361,0.6397,0.6912
1,PCA_075_HOG_256_32x32,70/30,0.6128,0.6575,0.679,0.6958,0.6497,0.6313,0.6451,0.6749
2,PCA_075_HOG_128_16x16,10-fold CV,0.5955,0.6311,0.6827,0.6971,0.5901,0.6258,0.6315,0.677
2,PCA_075_HOG_128_16x16,70/30,0.5982,0.6372,0.654,0.6946,0.5759,0.6134,0.647,0.7033
3,PCA_090_HOG_256_32x32,10-fold CV,0.5646,0.5857,0.5823,0.6582,0.5804,0.6126,0.6513,0.6639
3,PCA_090_HOG_256_32x32,70/30,0.5918,0.6224,0.5977,0.683,0.6273,0.6331,0.637,0.6958
4,HOG_256_32x32,10-fold CV,0.6612,0.6888,0.6918,0.7232,0.6529,0.6877,0.7132,0.7219
4,HOG_256_32x32,70/30,0.6284,0.6866,0.6537,0.7125,0.6891,0.7288,0.7073,0.7208
5,PCA_090_HOG_128_16x16,10-fold CV,0.5496,0.577,0.5899,0.639,0.5738,0.5878,0.6144,0.643
5,PCA_090_HOG_128_16x16,70/30,0.5391,0.5706,0.5996,0.6622,0.4619,0.5623,0.5977,0.6618
6,PCA_075_HOG_128_32x32,10-fold CV,0.6257,0.6567,0.6698,0.7035,0.6314,0.6385,0.6611,0.6917
6,PCA_075_HOG_128_32x32,70/30,0.6257,0.6823,0.7117,0.7373,0.6564,0.6554,0.7162,0.7166
7,PCA_090_HOG_128_32x32,10-fold CV,0.5758,0.6367,0.6509,0.6971,0.5927,0.6239,0.6478,0.669
7,PCA_090_HOG_128_32x32,70/30,0.6005,0.6413,0.6833,0.7542,0.5928,0.6633,0.703,0.7083
8,HOG_128_16x16,10-fold CV,0.6046,0.6504,0.6581,0.7207,0.6402,0.6843,0.6895,0.7027
8,HOG_128_16x16,70/30,0.6263,0.6706,0.7078,0.7083,0.6357,0.641,0.6666,0.6998
9,HOG_128_32x32,10-fold CV,0.6315,0.6547,0.6683,0.703,0.6443,0.6834,0.6909,0.7204
9,HOG_128_32x32,70/30,0.6796,0.7119,0.7453,0.7248,0.6859,0.6823,0.7111,0.716
10,LBP_256_6R,10-fold CV,0.5411,0.5475,0.5483,0.5539,0.5244,0.5401,0.5564,0.5776
10,LBP_256_6R,70/30,0.599,0.5873,0.5912,0.6166,0.5823,0.6208,0.6038,0.6074
11,PCA_075_HOG_256_16x16,10-fold CV,0.5801,0.6253,0.6314,0.6897,0.5644,0.6076,0.6304,0.7031
11,PCA_075_HOG_256_16x16,70/30,0.6529,0.6308,0.6524,0.6625,0.6152,0.6956,0.6622,0.7208
12,LBP_256_12R,10-fold CV,0.5745,0.563,0.5673,0.5679,0.5563,0.5759,0.5548,0.5725
12,LBP_256_12R,70/30,0.5849,0.5993,0.6167,0.604,0.6022,0.6162,0.6329,0.6125
,Média =>,,0.6031416666666667,0.6317458333333333,0.6448916666666666,0.6792708333333334,0.606,0.6353,0.6504541666666667,0.6779999999999999
,Desv. Pad. =>,,0.03646728035145867,0.04330746475635797,0.049693678337054764,0.05091216203181342,0.05116247775894736,0.04473790339298434,0.04533567535776794,0.044982015729960724
