,,,Classificadores (5),Classificadores (10),Classificadores (15),Classificadores (20)
1,PCA_075_HOG_256_32x32,10-fold CV,0.7143,0.708,0.7091,0.7041
1,PCA_075_HOG_256_32x32,70/30,0.7416,0.7375,0.7208,0.7292
2,PCA_075_HOG_128_16x16,10-fold CV,0.7245,0.7136,0.714,0.7244
2,PCA_075_HOG_128_16x16,70/30,0.6779,0.6815,0.6727,0.6825
3,PCA_090_HOG_256_32x32,10-fold CV,0.684,0.7005,0.6842,0.6895
3,PCA_090_HOG_256_32x32,70/30,0.7541,0.7542,0.7542,0.7583
4,HOG_256_32x32,10-fold CV,0.7113,0.7204,0.7167,0.7204
4,HOG_256_32x32,70/30,0.7541,0.7582,0.7582,0.7582
5,PCA_090_HOG_128_16x16,10-fold CV,0.7057,0.6856,0.6905,0.6955
5,PCA_090_HOG_128_16x16,70/30,0.6704,0.6372,0.6413,0.6488
6,PCA_075_HOG_128_32x32,10-fold CV,0.696,0.6902,0.689,0.6931
6,PCA_075_HOG_128_32x32,70/30,0.6957,0.7041,0.7125,0.6958
7,PCA_090_HOG_128_32x32,10-fold CV,0.7047,0.6938,0.7019,0.6984
7,PCA_090_HOG_128_32x32,70/30,0.7,0.6958,0.6958,0.7039
8,HOG_128_16x16,10-fold CV,0.7203,0.714,0.7177,0.7202
8,HOG_128_16x16,70/30,0.7247,0.7247,0.7247,0.7288
9,HOG_128_32x32,10-fold CV,0.693,0.6943,0.693,0.6903
9,HOG_128_32x32,70/30,0.7373,0.7373,0.7415,0.7415
10,LBP_256_6R,10-fold CV,0.5653,0.5654,0.5642,0.5654
10,LBP_256_6R,70/30,0.6114,0.5986,0.5938,0.5938
11,PCA_075_HOG_256_16x16,10-fold CV,0.6629,0.6678,0.6677,0.6647
11,PCA_075_HOG_256_16x16,70/30,0.6484,0.6491,0.641,0.6484
12,LBP_256_12R,10-fold CV,0.5843,0.5798,0.5795,0.5759
12,LBP_256_12R,70/30,0.581,0.5779,0.5647,0.5731
,Média =>,,0.6859541666666668,0.6828958333333333,0.6811958333333333,0.6835083333333333
,Desv. Pad. =>,,0.05337903007220415,0.055029916600104825,0.056500715495020726,0.0563927987745172
